Num,Name,Genus,Species,Subspecies,County,Regions,Landscape,Location,GPS,Habitat,ColMethod,Date,Year,Decade,Decade30,Invasion,Museum,Source,Notes
3913,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550564
3917,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550568
3918,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550569
3919,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550570
3920,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550571
3921,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550572
3922,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550573
4092,Mulsantina picta,Mulsantina,picta,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 761316
4104,Myzia pullata,Myzia,pullata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762008
4105,Myzia pullata,Myzia,pullata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762009
1470,Hippodamia convergens,Hippodamia,convergens,,Allen,WLEB,Rural,Delphos,,,,10-Jun-54,1954,1950,1950-1970,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
2281,Coccinella septempunctata,Coccinella,septempunctata,,Allen,WLEB,Rural,Bluffton,,,,15-Jun-10,2010,2010,2010-2018,4Pquat,LLP,Museum,
2382,Harmonia axyridis,Harmonia,axyridis,,Allen,WLEB,Rural,Lima,,,,23-Jun-10,2010,2010,2010-2018,4Pquat,LLP,Museum,
2383,Harmonia axyridis,Harmonia,axyridis,,Allen,WLEB,Rural,Lima,,,,23-Jun-10,2010,2010,2010-2018,4Pquat,LLP,Museum,
2384,Harmonia axyridis,Harmonia,axyridis,,Allen,WLEB,Rural,Lima,,,,23-Jun-10,2010,2010,2010-2018,4Pquat,LLP,Museum,
2385,Harmonia axyridis,Harmonia,axyridis,,Allen,WLEB,Rural,Lima,,,,23-Jun-10,2010,2010,2010-2018,4Pquat,LLP,Museum,
275,Chilocorus stigma,Chilocorus,stigma,,Ashland,LEGP,Rural,Loudonville,,,,30-May-37,1937,1930,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
500,Anatis labiculata,Anatis,labiculata,,Ashland,LEGP,Rural,Loudonville,,,,16-May-37,1937,1930,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
515,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,2 mi. south of Savannah,,,,2-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
516,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,"County Road 2000, Jeromesville",,,,2-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
517,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,Jeromesville,,,,3-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
518,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,Jeromesville,,,,5-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
519,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,Jeromesville,,,,5-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
520,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,Jeromesville,,,,5-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
521,Harmonia axyridis,Harmonia,axyridis,,Ashland,LEGP,Rural,Jeromesville,,,,5-Aug-01,2001,2000,1980-2000,3Haxyridis,Enns Entomology Museum,Museum,
899,Coleomegilla maculata,Coleomegilla,maculata,,Ashland,LEGP,Rural,"Loudonville Village,  Mohican State Park",,,,19-Jul-73,1973,1970,1950-1970,1Pre-invasion,Boonshoft Musuem of Discovery,Museum,
2109,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2118,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2119,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2139,Adalia bipunctata,Adalia,bipunctata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2142,Coleomegilla maculata,Coleomegilla,maculata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2143,Coleomegilla maculata,Coleomegilla,maculata,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2156,Cycloneda munda,Cycloneda,munda,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2157,Cycloneda munda,Cycloneda,munda,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2158,Cycloneda munda,Cycloneda,munda,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
2159,Cycloneda munda,Cycloneda,munda,,Ashland,LEGP,Rural,,,,,24-May-86,1986,1980,1980-2000,2Csept,Brigham Young University,Museum,
4362,Coleomegilla maculata,Coleomegilla,maculata,,Ashland,LEGP,Rural,"179 Ronald Ave, Ashland, OH",40.868767; -82.300794,home garden,sticky trap,,2014,2010,2010-2018,4Pquat,Buckeye Lady Beetle Blitz,BLBB,R#  971 
4910,Propylea quatuordecimpunctata,Propylea,quatuordecimpunctata,,Ashland,LEGP,Rural,"179 Ronald Ave, Ashland, OH",40.868767; -82.300794,home garden,sticky trap,,2014,2010,2010-2018,4Pquat,Buckeye Lady Beetle Blitz,BLBB,R#  972 
4911,Propylea quatuordecimpunctata,Propylea,quatuordecimpunctata,,Ashland,LEGP,Rural,"179 Ronald Ave, Ashland, OH",40.868767; -82.300794,home garden,sticky trap,,2014,2010,2010-2018,4Pquat,Buckeye Lady Beetle Blitz,BLBB,R#  972 
1,Harmonia axyridis,Harmonia,axyridis,,Ashtabula,LEGP,Rural,Grand River Terraces,,"Acer, Fagus Forest",Sweep,27-Jul-10,2010,2010,2010-2018,4Pquat,Cleveland Museum of Natural History,Museum,
13,Harmonia axyridis,Harmonia,axyridis,,Ashtabula,LEGP,Rural,North Kingsville,,Sand Barrens,,30 Aug-9 Sept-2008,2008,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
128,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashtabula,LEGP,Rural,Pierpont,,,,6-Aug-27,1927,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
135,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashtabula,LEGP,Rural,North Kingsville,,Sand Barrens,sweep,3-Jul-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
145,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashtabula,LEGP,Rural,Pierpont,,,,6-Aug-27,1927,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
156,Propylea quatuordecimpunctata,Propylea,quatuordecimpunctata,,Ashtabula,LEGP,Rural,North Kingsville,,Sand Barrens,sweep,3-Jul-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
157,Propylea quatuordecimpunctata,Propylea,quatuordecimpunctata,,Ashtabula,LEGP,Rural,"Kingsville Township, Blakeslee/Barrows Preservation",,,sweep,3-Jul-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
175,Cycloneda munda,Cycloneda,munda,,Ashtabula,LEGP,Rural,Pallister State Preserve,,,malaise trap,14-21 May 1989,1989,1980,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
181,Cycloneda munda,Cycloneda,munda,,Ashtabula,LEGP,Rural,"Lake Cardinal, Rome Township",,,malaise trap,24 April - 30 May 1991,1991,1990,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
186,Cycloneda munda,Cycloneda,munda,,Ashtabula,LEGP,Rural,Trumbull Township,,,,18-Aug-55,1955,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
255,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,Pallister State Preserve,,,malaise trap,7-14 Aug 1989,1989,1980,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
259,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,"Lake Cardinal, Rome Township",,,malaise trap,21-28 May 1989,1989,1980,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
260,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,Pallister State Preserve,,,malaise trap,15-22 June 1990,1990,1990,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
262,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,Pallister State Preserve,,,malaise trap,26 July - 2 Aug 1991,1991,1990,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
265,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,"Lake Cardinal, Rome Township",,,malaise trap,5-12 June 1992,1992,1990,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
266,Chilocorus stigma,Chilocorus,stigma,,Ashtabula,LEGP,Rural,"Lake Cardinal, Rome Township",,,malaise trap,26 June - 4 July 1989,1989,1980,1980-2000,2Csept,Cleveland Museum of Natural History,Museum,
299,Hippodamia convergens,Hippodamia,convergens,,Ashtabula,LEGP,Rural,Trumbull Township,,,,15-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
301,Hippodamia convergens,Hippodamia,convergens,,Ashtabula,LEGP,Rural,Trumbull Township,,,,15-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
302,Hippodamia convergens,Hippodamia,convergens,,Ashtabula,LEGP,Rural,Trumbull Township,,,,19-Jun-65,1965,1960,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
316,Hyperaspis�undulata,Hyperaspis,undulata,,Ashtabula,LEGP,Rural,North Kingsville,,,,24-Jun-26,1926,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
318,Hyperaspis�undulata,Hyperaspis,undulata,,Ashtabula,LEGP,Rural,North Kingsville,,,,23-Jun-26,1926,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
321,Hyperaspis�undulata,Hyperaspis,undulata,,Ashtabula,LEGP,Rural,"North Kingsville, Sand Barrens",,,sweep,3-Jul-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
340,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,Trumbull Township,,,,22-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
343,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,"North Kingsville, Sand Barrens",,,sweep,1-Aug-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
344,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,"North Kingsville, Sand Barrens",,,sweep,1-Aug-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
367,Coccinella novemnotata,Coccinella,novemnotata,,Ashtabula,LEGP,Rural,Pierpont,,,,6-Aug-27,1927,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
376,Coccinella transversoguttata,Coccinella,transversoguttata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,19-Aug-63,1963,1960,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
377,Coccinella transversoguttata,Coccinella,transversoguttata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,15-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
427,Brachiacantha ursina,Brachiacantha,ursina,,Ashtabula,LEGP,Rural,,,,,7-Aug-15,1915,1910,1890-1910,1Pre-invasion,Smithsonian NMNH,Museum,
436,Adalia bipunctata,Adalia,bipunctata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,18-Aug-55,1955,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
437,Adalia bipunctata,Adalia,bipunctata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,17-Feb-57,1957,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
466,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,North Kingsville,,Sand Barrens,sweep,1-Aug-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
467,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,North Kingsville,,Sand Barrens,sweep,1-Aug-03,2003,2000,1980-2000,4Pquat,Cleveland Museum of Natural History,Museum,
468,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,Trumbull Township,,,,22-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
473,Hippodamia glacialis,Hippodamia,glacialis,,Ashtabula,LEGP,Rural,North Kingsville,,,,26-Jun-26,1926,1920,1920-1940,1Pre-invasion,Cleveland Museum of Natural History,Museum,
475,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,18-Aug-55,1955,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
494,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Pallister State Preserve,,,malaise trap,25 June - 3 July 1993,1993,1990,1980-2000,3Haxyridis,Cleveland Museum of Natural History,Museum,
504,Coccinella undecimpunctata,Coccinella,undecimpunctata,,Ashtabula,LEGP,Rural,Trumbull Township,,,,22-Aug-53,1953,1950,1950-1970,1Pre-invasion,Cleveland Museum of Natural History,Museum,
522,Hippodamia convergens,Hippodamia,convergens,,Ashtabula,LEGP,Rural,"Ashtabula, Lake Erie",,,,11-Apr-49,1949,1940,1920-1940,1Pre-invasion,Enns Entomology Museum,Museum,
609,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,Andover,,,,26-Jul-33,1933,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
610,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,tibialis,Ashtabula,LEGP,Rural,Rock Creek O.,,,,16-May-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
611,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,tibialis,Ashtabula,LEGP,Rural,Geneva Twp-along beach at Chestnut Grove,,,,10-Jun-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
635,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashtabula,LEGP,Rural,Geneva Twp-along beach at Chestnut Grove,,,,10-Jun-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
667,Hippodamia parenthesis,Hippodamia,parenthesis,,Ashtabula,LEGP,Rural,,,,,26-Jul-33,1933,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
669,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,Ashtabula,LEGP,Rural,Rock Creek O.,,,,16-May-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
670,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,Ashtabula,LEGP,Rural,Geneva Twp- along beach at Chestnut Grove,,,,10-Jun-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
692,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Ashtabula,LEGP,Rural,Geneva Twp- along beach at Chestnut Grove,,,,10-Jun-34,1934,1930,1920-1940,1Pre-invasion,California Academy of Sciences,Museum,
1251,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1252,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1253,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1254,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1255,Anatis labiculata,Anatis,labiculata,,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1380,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Ashtabula,LEGP,Rural,Saybrook Twnp,,,,22-Jun-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
